K,T_train,T_test,min_test_events,rho_naive_constant,rho_drive_constant,delta_rho_constant,rho_time,rho_time_drive,delta_rho_time_adjusted,delta_rho_shift_p,rank1_delta,crossfit_projection_energy,crossfit_projection_p,crossfit_loading_alignment,crossfit_loading_p,orthogonal_leakage_ratio,predicted_geometry_cosine,predicted_geometry_relerr,residual_spike_ratio,residual_pc_alignment,residual_alignment_label_p,brier_naive,brier_drive,brier_time,brier_time_drive,logloss_naive,logloss_drive,logloss_time,logloss_time_drive,brier_gain_drive_vs_naive,brier_gain_factor_beyond_time,logloss_gain_drive_vs_naive,logloss_gain_factor_beyond_time,window,window_kind,event_type,q,K_requested
9,1860,3840,31,0.8064706679430143,0.7406375843331954,0.06583308360981888,0.7156022672611339,0.6679344515900472,0.04766781567108669,0.001996007984031936,0.7218276921108386,0.5586444442562987,0.003992015968063872,0.874662877492288,0.001996007984031936,0.6643459608776704,0.6147291382516115,0.9781423832306317,2.6170001031565975,0.892400897788731,0.9176164767046591,0.012743961206772103,0.012603793582589028,0.4416390960186273,0.4679219307169429,0.06374986914783361,0.0663274548186138,6.091499913801162,6.4544782250915445,0.0001401676241830751,-0.026282834698315605,-0.0025775856707801886,-0.3629783112903828,Banking_crypto,shock,volatility_burst,0.985,10
16,1860,3840,30,0.857662380368296,0.7525071204909625,0.10515525987733354,0.7755467760270387,0.6711334763742524,0.10441329965278634,0.001996007984031936,0.5936547097643619,0.3895758993380675,0.007984031936127744,0.8031446248394867,0.001996007984031936,0.7812964230411326,0.515063356675525,1.1150758983186209,2.721531812101768,0.9032672836688027,0.4829034193161368,0.014003766677224654,0.013846251366464866,0.18026795595106632,0.24326318361355836,0.06892512647490272,0.07185242621148187,2.480237192180355,3.3503998416842964,0.00015751531075978813,-0.06299522766249205,-0.002927299736579153,-0.8701626495039414,Banking_crypto,shock,volatility_burst,0.985,20
10,1380,2880,102,0.9066553582365711,0.8477728611204168,0.05888249711615423,0.8638504593785153,0.7862678264600652,0.07758263291845013,0.001996007984031936,0.6082901582447957,0.46228736056511355,0.07984031936127745,0.8574543315011742,0.013972055888223553,0.733288919476274,0.26792883347125657,1.0686552048709965,2.704529326526377,0.9492083794571966,0.15876824635072986,0.045202674944418944,0.04440227645266027,0.5510801845309484,0.3826515811330522,0.17687437598264802,0.18086578079413093,7.578304332098329,5.245953274807371,0.0008003984917586762,0.16842860339789623,-0.003991404811482913,2.3323510572909587,Control_2022_Aug_A,control,volume_burst,0.95,10
19,1380,2880,102,0.9523850332160703,0.8477728611204169,0.10461217209565332,0.9361195131184361,0.7981851712217537,0.1379343418966824,0.001996007984031936,0.542980273993362,0.41815557671427045,0.011976047904191617,0.8666313651364576,0.003992015968063872,0.762787272624674,0.1365122005788549,1.6524856682393183,3.4310416817377023,0.9381152845735183,0.15076984603079385,0.048081844030404,0.04738147021589041,0.6008614878986692,0.5221140342953638,0.1885068817747304,0.1935278203661954,8.22430418704961,7.139156542429636,0.0007003738145135857,0.07874745360330537,-0.005020938591464991,1.0851476446199735,Control_2022_Aug_A,control,volume_burst,0.95,20
10,1380,2880,61,0.9002453524869432,0.8355583421819573,0.0646870103049858,0.8786892443658528,0.7808088935320281,0.09788035083382474,0.001996007984031936,0.6950333535721558,0.47934379592054227,0.06387225548902195,0.8156156109185474,0.031936127744510975,0.7215651072978061,0.23880893536270054,1.2292438258132277,2.395943428763891,0.8969088400082033,0.28374325134973005,0.03140867879239554,0.030990898579805783,0.5222710737203842,0.457078064715083,0.12711949652573956,0.13124399115344568,7.20646258971364,6.299517808111677,0.00041778021258975784,0.06519300900530117,-0.004124494627706116,0.9069447816019629,Control_2022_Aug_A,control,volume_burst,0.97,10
19,1380,2880,61,0.9411813253004647,0.8355583421681625,0.10562298313230223,0.9231170927072136,0.7985161878538792,0.12460090485333442,0.001996007984031936,0.5846308859908448,0.3384212456328855,0.021956087824351298,0.7324365922647886,0.011976047904191617,0.8133749162354681,0.2369488815843104,1.2843346550823738,3.188900455808043,0.8595885404280761,0.3177364527094581,0.03299873560007043,0.032546976117846106,0.605374042169927,0.43232987971394427,0.13843513027840074,0.13975763629828536,8.330304834942854,5.937983713815086,0.00045175948222432594,0.1730441624559827,-0.0013225060198846228,2.392321121127768,Control_2022_Aug_A,control,volume_burst,0.97,20
9,1380,2880,40,0.8992012858025152,0.8319651955405829,0.06723609026193234,0.8727738601585008,0.7877832732128458,0.08499058694565498,0.001996007984031936,0.804025459027095,0.568982170753854,0.021956087824351298,0.8398832408091089,0.00998003992015968,0.6565194812344611,0.48158916875152763,0.9024035101566896,2.470413506950461,0.8638192387215573,0.3369326134773045,0.018694591188637703,0.018563363950594564,0.4212403556971009,0.44220953949892994,0.08305293142542271,0.08070713401521758,5.811860140729733,6.0991209299792475,0.0001312272380431384,-0.02096918380182905,0.0023457974102051304,-0.2872607892495145,Control_2022_Aug_A,control,volume_burst,0.985,10
18,1380,2880,39,0.9119223029720903,0.8316782271326504,0.08024407583943993,0.8881574654323248,0.7863548345655974,0.10180263086672736,0.001996007984031936,0.5633546187896182,0.3245008107012098,0.10179640718562874,0.7281985226461758,0.06387225548902195,0.8218875770406302,0.32517452964967675,1.107456565137837,3.2163939423180476,0.7791969346231606,0.6752649470105979,0.01942962502152329,0.019290109030454784,0.3098761173154347,0.35658462249387046,0.08837019482430813,0.0864771156175498,4.245685563767685,4.891637000267332,0.00013951599106850482,-0.04670850517843578,0.0018930792067583385,-0.6459514364996473,Control_2022_Aug_A,control,volume_burst,0.985,20
10,1380,2880,158,0.8694972193709907,0.7193163927250056,0.1501808266459851,0.8164952574091295,0.652972899995949,0.16352235741318055,0.001996007984031936,0.647378585054232,0.5470245657767621,0.031936127744510975,0.9169428749261437,0.003992015968063872,0.6730344970425838,0.5178436079408112,0.9505584130551753,3.6043810711958724,0.9568780985567459,0.2741451709658068,0.061910516025056275,0.06169091285542891,0.4645448947541829,0.4235608747017913,0.23373984666871397,0.23442661802498554,6.368380021863811,5.7971864123378865,0.00021960316962736648,0.0409840200523916,-0.0006867713562715705,0.5711936095259249,Control_2022_Aug_A,control,volatility_burst,0.95,10
20,1380,2880,116,0.8992877774247424,0.7645083136288355,0.13477946379590688,0.8459572701817027,0.694683268245722,0.15127400193598073,0.001996007984031936,0.5253298986850037,0.33403582236711377,0.031936127744510975,0.7893576867706644,0.001996007984031936,0.8160662826160289,0.3841154262041077,1.221213853529641,3.304465909328109,0.8053432516460293,0.7000599880023995,0.06234863231607892,0.062146410017437086,0.4904126070015098,0.4656653826167567,0.2368434081318515,0.23874422643480475,6.696719394490833,6.3516026792610925,0.00020222229864183539,0.024747224384753075,-0.0019008183029532444,0.3451167152297403,Control_2022_Aug_A,control,volatility_burst,0.95,20
