window,q,asset,hansen_J,p,df
Control_2023_Feb,0.95,TRXUSDT,4.390711449890538,0.036135231450828864,1
Control_2023_Feb,0.95,UNIUSDT,0.8832491828569884,0.34731329615798223,1
Control_2023_Feb,0.95,XRPUSDT,0.06831436024578288,0.7938070667412759,1
Control_2023_Feb,0.97,ADAUSDT,1.4683551063721871,0.22560540027115417,1
Control_2023_Feb,0.97,ATOMUSDT,1.0415752054612757,0.3074554036050212,1
Control_2023_Feb,0.97,AVAXUSDT,0.6190321703325858,0.4314071649940866,1
Control_2023_Feb,0.97,BCHUSDT,1.1249512213735862,0.28885482035209753,1
Control_2023_Feb,0.97,BNBUSDT,2.268574211070124,0.13202131137463347,1
Control_2023_Feb,0.97,BTCUSDT,0.41484554785658107,0.519520286124326,1
Control_2023_Feb,0.97,DOGEUSDT,0.0860254088084289,0.7692921776836579,1
Control_2023_Feb,0.97,DOTUSDT,0.679063970373944,0.4099092289738768,1
Control_2023_Feb,0.97,ETCUSDT,1.57161924022037,0.2099720165364266,1
Control_2023_Feb,0.97,ETHUSDT,4.868332845986325,0.027353914346290975,1
Control_2023_Feb,0.97,FILUSDT,0.0593439632224859,0.8075358537860897,1
Control_2023_Feb,0.97,LINKUSDT,0.21028625591088201,0.6465431320543031,1
Control_2023_Feb,0.97,LTCUSDT,1.3413553972915175,0.24679508256586358,1
Control_2023_Feb,0.97,NEARUSDT,0.18237927904684237,0.6693364489954718,1
Control_2023_Feb,0.97,SOLUSDT,2.218088264179549,0.13640186867963344,1
Control_2023_Feb,0.97,TRXUSDT,1.3951276124289866,0.23754107366887367,1
Control_2023_Feb,0.97,UNIUSDT,0.17703689884260038,0.6739321470915339,1
Control_2023_Feb,0.97,XRPUSDT,0.19822935110413908,0.6561538747933766,1
Control_2023_Jan,0.95,ADAUSDT,0.012179801578065322,0.9121221788922284,1
Control_2023_Jan,0.95,ATOMUSDT,0.07265997110753805,0.7875025196253072,1
Control_2023_Jan,0.95,AVAXUSDT,1.3215972857346494,0.2503055889364638,1
Control_2023_Jan,0.95,BCHUSDT,0.15423670916788332,0.6945190457282029,1
Control_2023_Jan,0.95,BNBUSDT,0.06682110547891985,0.7960227572276406,1
Control_2023_Jan,0.95,BTCUSDT,1.938750581233907,0.16380425827137113,1
Control_2023_Jan,0.95,DOGEUSDT,0.015051454197181683,0.902357042726537,1
Control_2023_Jan,0.95,DOTUSDT,0.8410264568151193,0.35910336861124137,1
Control_2023_Jan,0.95,ETCUSDT,0.3120386177232785,0.5764318940992742,1
Control_2023_Jan,0.95,ETHUSDT,0.7124203084076004,0.3986414972191862,1
Control_2023_Jan,0.95,FILUSDT,0.12967422754166114,0.7187700502940252,1
Control_2023_Jan,0.95,LINKUSDT,0.3351589745422461,0.5626369721931745,1
Control_2023_Jan,0.95,LTCUSDT,0.22008000927441285,0.6389789620855956,1
Control_2023_Jan,0.95,NEARUSDT,0.0065242017022895445,0.9356228540632308,1
Control_2023_Jan,0.95,SOLUSDT,1.671245405306379e-05,0.9967381877085588,1
Control_2023_Jan,0.95,TRXUSDT,0.056894062161755035,0.8114741120715608,1
Control_2023_Jan,0.95,UNIUSDT,0.3802191649283223,0.5374859663358903,1
Control_2023_Jan,0.95,XRPUSDT,2.867141098707828e-06,0.9986489718843923,1
Control_2023_Jan,0.97,ADAUSDT,0.059450441040196984,0.8073666584762365,1
Control_2023_Jan,0.97,ATOMUSDT,0.05570051724241871,0.8134252439524722,1
Control_2023_Jan,0.97,AVAXUSDT,0.6293028577768981,0.42761114557114943,1
Control_2023_Jan,0.97,BCHUSDT,0.06296929834581774,0.8018629402156932,1
Control_2023_Jan,0.97,BNBUSDT,0.2437170788543824,0.6215342406191373,1
Control_2023_Jan,0.97,BTCUSDT,0.0017513567890579613,0.9666189015235874,1
Control_2023_Jan,0.97,DOGEUSDT,0.14002068681174795,0.7082604476696825,1
Control_2023_Jan,0.97,DOTUSDT,0.34537979470270236,0.5567402412353765,1
Control_2023_Jan,0.97,ETCUSDT,0.43480727700937355,0.5096394693233461,1
Control_2023_Jan,0.97,ETHUSDT,6.1880291198664175,0.01286173501148602,1
Control_2023_Jan,0.97,FILUSDT,0.1272079626149958,0.7213446672396345,1
Control_2023_Jan,0.97,LINKUSDT,0.29614090308810237,0.5863119040041596,1
Control_2023_Jan,0.97,LTCUSDT,0.02731794124778552,0.868722497972864,1
Control_2023_Jan,0.97,NEARUSDT,0.061393034249473795,0.8043075877004842,1
Control_2023_Jan,0.97,SOLUSDT,0.195663287083226,0.6582443253764689,1
Control_2023_Jan,0.97,TRXUSDT,0.8934972024363754,0.3445313555566233,1
Control_2023_Jan,0.97,UNIUSDT,2.623577910138555,0.10528679697810106,1
Control_2023_Jan,0.97,XRPUSDT,2.602058179636252,0.10672503478357886,1
FTX_collapse,0.95,ADAUSDT,7.5015027544341635,0.006164753220255781,1
FTX_collapse,0.95,ATOMUSDT,1.1771729922443948,0.27793227045661284,1
FTX_collapse,0.95,AVAXUSDT,1.1709521849499598,0.279205678508769,1
FTX_collapse,0.95,BCHUSDT,2.9447073802677424,0.08615930237616576,1
FTX_collapse,0.95,BNBUSDT,2.9054560617520284,0.08828027990739118,1
FTX_collapse,0.95,BTCUSDT,2.0655171791447136,0.15066380778900057,1
FTX_collapse,0.95,DOGEUSDT,1.7151677843233823,0.19031624737856312,1
FTX_collapse,0.95,DOTUSDT,2.1319974272209734,0.14425267317665613,1
FTX_collapse,0.95,ETCUSDT,1.2327011522153857,0.26688237072370047,1
FTX_collapse,0.95,ETHUSDT,2.8759537155247448,0.08991169406665722,1
FTX_collapse,0.95,FILUSDT,0.15734305191771192,0.6916145785405743,1
FTX_collapse,0.95,LINKUSDT,3.0316069710794036,0.08165710532836068,1
FTX_collapse,0.95,LTCUSDT,0.0488526170507077,0.8250719694316155,1
FTX_collapse,0.95,NEARUSDT,1.9729285175620528,0.1601373591595321,1
FTX_collapse,0.95,SOLUSDT,0.9905734557841244,0.31960225727538416,1
FTX_collapse,0.95,TRXUSDT,0.14790239538964228,0.7005480179166342,1
FTX_collapse,0.95,UNIUSDT,0.32557644041934725,0.5682755237882375,1
FTX_collapse,0.95,XRPUSDT,3.4499658548915235,0.0632530764924899,1
FTX_collapse,0.97,ADAUSDT,3.756780575596117,0.05259375124766874,1
FTX_collapse,0.97,ATOMUSDT,0.44505798013982895,0.504691232420144,1
FTX_collapse,0.97,AVAXUSDT,0.7686273379614513,0.3806420315474477,1
FTX_collapse,0.97,BCHUSDT,1.9853190414540796,0.15883117649093104,1
FTX_collapse,0.97,BNBUSDT,3.8273759945405903,0.05042181165714066,1
FTX_collapse,0.97,BTCUSDT,0.9001801635985824,0.3427334072643585,1
FTX_collapse,0.97,DOGEUSDT,1.0325311642895323,0.30956491055138224,1
FTX_collapse,0.97,DOTUSDT,4.012698710724107,0.045158812566493234,1
FTX_collapse,0.97,ETCUSDT,1.4761599940654655,0.2243762946769654,1
FTX_collapse,0.97,ETHUSDT,0.06959508008551507,0.7919272574999738,1
FTX_collapse,0.97,FILUSDT,0.34714938673212353,0.5557312457385484,1
FTX_collapse,0.97,LINKUSDT,3.580009737227844,0.058478808498204415,1
FTX_collapse,0.97,LTCUSDT,0.001356137449655966,0.9706239252629313,1
FTX_collapse,0.97,NEARUSDT,0.19594733863712224,0.658012117766372,1
FTX_collapse,0.97,SOLUSDT,2.8320341948935237,0.09240125221791884,1
FTX_collapse,0.97,TRXUSDT,1.2505316907790809,0.2634509515256591,1
FTX_collapse,0.97,UNIUSDT,1.8048029494340847,0.17913292457851615,1
FTX_collapse,0.97,XRPUSDT,1.3178126908426717,0.2509849818507457,1
Terra_Luna,0.95,ADAUSDT,0.3330497318438213,0.5638687897681157,1
Terra_Luna,0.95,ATOMUSDT,0.5223094561646168,0.46985819296071407,1
Terra_Luna,0.95,AVAXUSDT,0.524813676923519,0.46879549634992645,1
Terra_Luna,0.95,BCHUSDT,1.5652841078708324,0.21089319943745188,1
Terra_Luna,0.95,BNBUSDT,0.013883073574917828,0.9062051672352949,1
Terra_Luna,0.95,BTCUSDT,0.47804454434388105,0.48930939529007533,1
Terra_Luna,0.95,DOGEUSDT,0.06787090262973697,0.7944623462698697,1
Terra_Luna,0.95,DOTUSDT,0.6175068611823138,0.4319752634804699,1
Terra_Luna,0.95,ETCUSDT,0.3571649616802094,0.5500849745692735,1
Terra_Luna,0.95,ETHUSDT,0.3070348813842189,0.57950542592806,1
Terra_Luna,0.95,FILUSDT,0.3871548597592122,0.5337987323073197,1
Terra_Luna,0.95,LINKUSDT,0.7043296232821561,0.40133269115997994,1
Terra_Luna,0.95,LTCUSDT,0.8581905315527294,0.35424555431140736,1
